"24","81","37"
"3","16","4"
"12","82","44"
"0","11","20"
"0","0","4"
"1","32","12.5"
"37","37","4.5"
"9","14","11.5"
"33","0","14"
"0","46","22.5"
"0","10","13.5"
"37","0","9.5"
"38","6","13"
"6","7","27"
"2","2","4"
"10","12","7.5"
"16","61","15"
"83","84","28"
"12","75","23.5"
"2","22","18.5"
"15","85","19"
"16","1","4"
"24","66","21.5"
"1","6","16"
"3","1","7"
"12","2","8.5"
"0","10","11.5"
"38","13","6.5"
"35","35","74.5"
"12","11","22"
"2","66","25"
"6","25","11"
"24","26","6.5"
"37","38","6"
"38","2","6.5"
"16","12","11.5"
"3","6","14"
"6","45","21.5"
"2","0","5"
"0","6","11"
"28","2","3.5"
"0","29","9.5"
"1","86","33"
"37","24","10"
"0","21","16"
"6","28","13.5"
"6","6","4.5"
"10","0","12"
"5","10","13.5"
"5","6","11.5"
"0","11","25.5"
"0","11","23"
"0","4","7"
"1","33","13.5"
"23","56","12"
"12","35","50"
"4","12","4.5"
"87","88","8"
"0","38","10"
"25","10","18.5"
"16","10","16"
"6","6","3"
"39","25","25.5"
"1","28","5"
"56","40","7.5"
"38","89","37"
"30","4","13.5"
"37","90","9"
"38","2","12"
"37","24","10.5"
"6","46","29.5"
"0","6","7.5"
"10","10","5"
"6","6","5.5"
"38","5","7"
"0","12","6.5"
"6","22","7.5"
"0","2","9"
"0","6","4.5"
"7","0","33.5"
"5","6","9.5"
"1","10","13"
"6","6","6"
"7","10","30.5"
"12","39","12.5"
"6","6","7"
"21","2","5.5"
"2","2","4"
"5","2","9.5"
"2","15","52"
"10","32","8"
"12","10","7"
"36","3","11"
"10","11","9.5"
"38","2","9"
"14","27","31"
"25","5","13.5"
"2","0","11"
"37","0","11"
"12","12","6"
"6","6","6"
"11","22","6.5"
"12","38","23"
"10","10","6"
"6","6","5"
"6","6","7.5"
"10","10","7"
"62","0","14"
"0","0","7"
"0","2","9.5"
"2","0","9.5"
"12","0","7.5"
"1","55","8"
"4","3","12.5"
"32","10","6.5"
"0","6","10"
"10","6","8"
"3","5","9"
"6","0","10.5"
"1","0","10"
"22","6","13"
"0","38","10"
"6","4","11"
"10","32","6.5"
"6","6","5.5"
"1","16","7"
"3","4","12.5"
"10","10","5"
"4","2","7"
"6","6","4.5"
"12","10","8"
"6","12","13.5"
"12","10","8"
"29","62","9"
"0","38","11.5"
"0","0","8.5"
"6","6","5.5"
"17","48","22"
"12","10","4.5"
"2","16","8"
"0","29","9"
"2","35","55"
"12","37","13"
"10","10","8.5"
"15","5","52"
"1","6","16"
"38","75","13.5"
"0","8","5"
"38","6","12"
