"(12, 6)","['9.5', '10', '12']","(1.0, 0.0)"
"(12, 7)","['26.5', '27', '29.5']","(1.0, 0.0)"
"(12, 8)",['8.5'],"(1.0, 0.0)"
"(12, 10)","['7.5', '10', '7', '8', '8', '4.5', '5', '7']","(0.99999660232687526, 0.0)"
"(12, 11)",['22'],"(1.0, 0.0)"
"(12, 12)","['6', '6', '3.5', '5', '5', '6', '6', '6', '5']","(0.99976737092096446, 0.0)"
"(12, 14)","['19.5', '16']","(1.0, 0.0)"
"(12, 17)",['22'],"(1.0, 0.0)"
"(12, 19)",['18'],"(1.0, 0.0)"
"(12, 22)",['15.5'],"(1.0, 0.0)"
"(12, 25)",['17.5'],"(1.0, 0.0)"
"(12, 29)",['19.5'],"(1.0, 0.0)"
"(12, 30)",['25'],"(1.0, 0.0)"
"(12, 33)",['13'],"(1.0, 0.0)"
"(12, 34)",['26'],"(1.0, 0.0)"
"(12, 35)",['50'],"(1.0, 0.0)"
"(12, 37)",['13'],"(1.0, 0.0)"
"(12, 38)","['11.5', '23']","(1.0, 0.0)"
"(12, 39)","['20.5', '12.5', '13']","(1.0, 0.0)"
"(12, 62)",['25.5'],"(1.0, 0.0)"
"(12, 65)",['35.5'],"(1.0, 0.0)"
"(12, 66)",['24.5'],"(1.0, 0.0)"
"(12, 74)",['40.5'],"(1.0, 0.0)"
"(12, 75)",['23.5'],"(1.0, 0.0)"
"(12, 82)",['44'],"(1.0, 0.0)"
"(13, 0)",['15.5'],"(1.0, 0.0)"
"(13, 2)",['9.5'],"(1.0, 0.0)"
"(13, 6)",['14.5'],"(1.0, 0.0)"
"(13, 9)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(13, 16)",['5.5'],"(0.99999998101043752, 3.7979124956066812e-08)"
"(13, 26)",['12'],"(1.0, 0.0)"
"(13, 29)",['25'],"(1.0, 0.0)"
"(13, 38)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(13, 51)",['19.5'],"(1.0, 0.0)"
